order_id,order_date,customer_id,country,state,city,product_category,product_id,quantity,unit_price,discount,total_amount,payment_method,is_first_purchase,channel,status,ship_date,shipping_cost
100000,2024-02-29,1113,IN,DL,Delhi,beauty,593,3,68.92,0.2,165.41,paypal,False,web,shipped,2024-03-02,14.3
100001,2025-06-02,1651,IN,TN,Chennai,sports,879,2,409.1,0.0,818.2,paypal,False,store,shipped,2025-06-05,9.41
100002,2025-03-14,1962,DE,BY,Nuremberg,apparel,606,2,359.94,0.05,683.89,bank_transfer,False,store,shipped,2025-03-19,14.52
100003,2024-10-21,1867,BR,SP,Santos,apparel,144,9,380.36,0.05,3252.08,paypal,False,mobile,completed,2024-10-25,20.4
100004,2024-10-17,1274,US,CA,Sacramento,beauty,525,6,199.06,0.0,1194.36,debit_card,False,web,completed,2024-10-18,21.53
100005,2025-07-29,1453,BR,RJ,Petropolis,home,841,3,427.83,0.2,1026.79,paypal,False,marketplace,processing,2025-07-30,20.47
100006,2024-02-27,1531,IN,GJ,Surat,home,688,4,209.94,0.0,839.76,cash,True,web,shipped,2024-02-29,11.39
100007,2025-04-12,1247,DE,BE,Berlin,beauty,219,3,287.4,0.25,646.65,debit_card,False,marketplace,completed,2025-04-19,2.97
100008,2024-05-14,1268,IN,DL,New Delhi,home,288,9,5.32,0.15,40.7,credit_card,False,mobile,completed,2024-05-21,14.23
100009,2024-03-04,1236,DE,SN,Chemnitz,beauty,868,7,324.21,0.25,1702.1,cash,False,marketplace,processing,2024-03-07,3.91
100010,2024-12-18,1994,CA,QC,Montreal,apparel,980,9,360.5,0.1,2920.05,credit_card,True,mobile,shipped,2024-12-25,1.52
100011,2025-10-15,1746,IN,KA,Mangaluru,sports,776,4,285.72,0.0,1142.88,bank_transfer,False,store,processing,2025-10-16,12.47
100012,2025-05-07,1840,CA,QC,Montreal,electronics,188,5,250.8,0.05,1191.3,cash,False,store,shipped,2025-05-14,16.38
100013,2025-05-24,1816,UK,England,Manchester,sports,656,2,405.92,0.2,649.47,debit_card,True,mobile,completed,2025-05-26,21.35
100014,2025-04-25,1959,DE,HE,Darmstadt,home,845,10,342.28,0.25,2567.1,debit_card,False,web,completed,2025-04-26,19.57
